package, pkg-ver, install-time, date, config
open-mpi, 4.0.2_0, 44.11, 1580774568, Default
open-mpi, 4.0.2_0, 117.53, 1580775374, Default
open-mpi, 4.0.2_0, 39.85, 1580775896, Default
open-mpi, 4.0.2_0, 31.65, 1580777061, Default
open-mpi, 4.0.2_0, 32.58, 1580777729, Default
open-mpi, 4.0.2_0, 31.02, 1580780489, Default
open-mpi, 4.0.2_0, 32.33, 1580781511, Default
open-mpi, 4.0.2_0, 35.30, 1580782004, Default
open-mpi, 4.0.2_0, 33.30, 1580782945, Default
open-mpi, 4.0.2_0, 58.59, 1580787919, Default
open-mpi, 4.0.2_0, 43.61, 1580788370, Default
open-mpi, 4.0.2_0, 34.43, 1580790172, Default
open-mpi, 4.0.2_0, 31.18, 1580791506, Default
open-mpi, 4.0.2_0, 29.48, 1580795118, Default
